Kód obce,Název obce,Registrovaní voliči,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
535826,Adamov,682,474,472,"19,27","0,00","0,42","7,83","0,00","7,62","8,47","0,84","0,63","2,75","0,00","0,21","9,11","0,00","4,87","26,69","0,00","0,00","2,54","0,00","0,63","0,21","0,00","7,62","0,21"
536156,Bečice,82,63,63,"4,76","0,00","0,00","1,58","0,00","7,93","4,76","0,00","1,58","1,58","0,00","0,00","12,69","0,00","7,93","26,98","0,00","0,00","15,87","0,00","0,00","0,00","0,00","14,28","0,00"
544272,Borek,1 215,923,914,"13,45","0,10","0,32","5,68","0,00","6,34","6,78","1,64","0,54","2,84","0,00","0,10","10,17","0,00","7,11","30,08","0,10","0,00","5,14","0,00","1,53","0,54","0,00","7,22","0,21"
544281,Borovany,3 299,2 093,2 081,"9,85","0,24","0,00","7,64","0,14","4,18","9,27","1,24","1,00","1,24","0,28","0,24","8,45","0,19","3,70","30,99","0,00","0,04","8,31","0,14","0,91","0,24","0,43","10,71","0,48"
535681,Borovnice,107,78,78,"11,53","0,00","0,00","7,69","0,00","11,53","0,00","1,28","0,00","7,69","0,00","0,00","8,97","0,00","7,69","20,51","0,00","0,00","2,56","0,00","0,00","0,00","0,00","17,94","2,56"
544299,Boršov nad Vltavou,1 431,993,986,"13,48","0,00","0,10","5,07","0,00","10,64","5,07","0,81","0,40","2,12","0,00","0,20","9,43","0,00","6,89","26,47","0,00","0,20","7,30","0,00","2,23","0,30","0,10","8,92","0,20"
535401,Bošilec,173,122,122,"13,93","0,81","0,00","9,83","0,00","3,27","9,83","0,00","0,81","1,63","0,00","0,00","13,93","0,81","2,45","26,22","0,00","1,63","3,27","0,00","0,81","0,00","0,81","9,01","0,81"
551490,Branišov,181,133,131,"15,26","0,00","0,00","6,10","0,00","9,92","4,58","0,00","0,00","1,52","0,00","0,00","12,97","0,00","5,34","20,61","0,00","0,00","9,92","0,00","3,81","0,00","2,29","7,63","0,00"
536059,Břehov,119,89,86,"20,93","0,00","0,00","3,48","0,00","8,13","2,32","0,00","1,16","1,16","0,00","0,00","8,13","0,00","4,65","26,74","0,00","1,16","4,65","1,16","5,81","0,00","0,00","10,46","0,00"
535541,Čakov,220,158,157,"16,56","0,00","0,00","2,54","0,00","5,73","14,01","2,54","0,63","4,45","0,00","0,00","13,37","1,27","7,00","15,28","0,63","0,63","3,82","0,00","3,18","0,00","0,00","8,28","0,00"
544329,Čejkovice,282,166,164,"6,09","0,00","0,00","5,48","0,00","4,26","10,36","0,00","0,00","2,43","0,00","0,00","9,14","0,00","4,87","42,07","0,00","0,00","4,26","0,00","0,00","0,00","0,00","9,75","1,21"
598976,Čenkov u Bechyně,48,40,40,"17,50","0,00","0,00","12,50","0,00","0,00","2,50","0,00","0,00","0,00","0,00","0,00","12,50","0,00","7,50","17,50","0,00","0,00","15,00","0,00","0,00","0,00","0,00","15,00","0,00"
544256,České Budějovice,74 414,45 962,45 670,"13,08","0,09","0,07","6,56","0,09","4,63","8,01","1,80","0,55","2,22","0,08","0,21","11,02","0,07","6,91","27,67","0,08","0,14","4,56","0,13","1,77","0,21","0,15","9,41","0,37"
551503,Čížkrajice,201,117,117,"6,83","0,00","0,00","9,40","0,00","5,12","11,11","1,70","0,85","0,85","0,00","0,00","5,98","0,00","3,41","42,73","0,00","0,00","1,70","0,00","0,85","0,00","0,85","8,54","0,00"
535249,Dasný,253,183,183,"18,57","0,00","0,00","8,19","0,00","6,55","8,19","0,00","0,00","1,09","0,00","0,54","7,65","0,00","7,65","21,85","0,00","0,00","7,10","0,00","1,63","0,00","0,00","10,38","0,54"
544361,Dívčice,454,287,283,"9,89","0,35","0,00","7,06","0,00","7,77","15,19","0,70","0,00","1,06","0,00","0,00","9,54","0,35","3,18","25,44","0,70","0,00","7,42","0,00","0,35","0,00","0,35","9,54","1,06"
535206,Dobrá Voda u Českých Budějovic,2 119,1 444,1 440,"13,88","0,06","0,27","7,29","0,00","5,41","5,90","1,80","0,20","1,38","0,06","0,27","10,83","0,13","6,38","28,88","0,00","0,13","5,97","0,06","2,08","0,20","0,06","8,33","0,27"
536199,Dobšice,92,44,44,"9,09","0,00","0,00","2,27","2,27","15,90","11,36","0,00","0,00","0,00","0,00","0,00","18,18","0,00","2,27","25,00","0,00","0,00","0,00","0,00","0,00","2,27","0,00","11,36","0,00"
544388,Dolní Bukovsko,1 332,799,794,"10,32","0,00","0,00","7,05","0,25","5,91","9,31","1,13","0,62","2,14","0,00","0,12","7,80","0,00","4,28","30,73","0,62","0,12","6,67","0,00","1,88","0,25","0,00","10,70","0,00"
535664,Doubravice,243,175,175,"7,42","0,00","0,00","5,14","0,00","13,71","6,85","2,85","0,57","3,42","0,57","0,00","12,57","0,00","5,71","29,71","0,00","0,00","6,85","0,00","0,57","0,00","0,00","3,42","0,57"
544400,Doudleby,382,245,244,"19,67","0,00","0,00","6,96","0,00","5,73","4,91","1,22","2,04","3,27","0,00","0,81","9,42","0,40","8,19","22,54","0,00","0,40","2,86","0,40","1,22","0,00","0,00","9,83","0,00"
535958,Drahotěšice,255,164,164,"3,65","0,00","0,00","4,87","0,00","3,04","9,75","4,87","0,00","1,82","0,00","0,00","12,19","0,00","10,36","32,31","0,60","0,00","4,87","0,00","0,60","0,00","0,00","10,97","0,00"
549371,Dražíč,208,122,122,"8,19","0,00","0,00","4,91","0,00","2,45","18,03","1,63","1,63","2,45","0,00","0,00","4,91","0,00","6,55","28,68","0,00","0,00","7,37","0,00","1,63","0,81","0,00","10,65","0,00"
544426,Dříteň,1 284,783,777,"13,12","0,12","0,00","7,72","0,77","5,66","9,00","1,02","1,02","1,93","0,00","0,12","9,26","0,12","3,08","25,86","0,12","0,38","9,00","0,00","0,90","0,51","0,25","9,65","0,25"
535788,Dubičné,324,234,234,"16,66","0,85","0,00","5,98","0,00","3,84","8,11","1,28","0,85","1,28","0,00","0,00","6,41","0,00","2,99","23,93","0,85","0,42","6,41","0,00","0,85","0,42","0,00","18,37","0,42"
544442,Dubné,1 184,848,842,"13,06","0,11","0,23","5,34","0,23","6,05","6,17","1,30","0,71","2,25","0,00","0,35","7,48","0,00","7,48","26,95","0,00","0,11","9,14","0,00","1,90","0,23","0,35","10,21","0,23"
544451,Dynín,259,136,136,"4,41","0,73","0,00","2,94","0,00","2,94","8,08","0,00","0,00","1,47","0,00","1,47","16,17","0,00","5,14","41,17","0,00","0,00","5,88","0,73","1,47","0,00","0,00","6,61","0,73"
535575,Habří,83,71,70,"27,14","0,00","0,00","4,28","0,00","4,28","0,00","0,00","0,00","0,00","0,00","0,00","10,00","0,00","4,28","34,28","0,00","1,42","2,85","0,00","2,85","0,00","0,00","8,57","0,00"
536075,Hartmanice,138,80,80,"10,00","1,25","0,00","13,75","1,25","7,50","12,50","0,00","0,00","0,00","0,00","0,00","5,00","0,00","6,25","17,50","0,00","0,00","17,50","0,00","2,50","0,00","1,25","3,75","0,00"
598593,Heřmaň,154,105,104,"12,50","0,00","0,00","3,84","0,00","2,88","9,61","0,96","1,92","0,96","0,00","0,00","15,38","0,00","8,65","22,11","0,96","0,00","4,80","0,00","0,00","0,00","0,00","15,38","0,00"
535851,Hlavatce,126,76,76,"15,78","0,00","0,00","10,52","0,00","5,26","2,63","1,31","0,00","1,31","0,00","0,00","7,89","0,00","13,15","21,05","0,00","0,00","13,15","0,00","5,26","1,31","0,00","1,31","0,00"
598607,Hlincová Hora,314,225,224,"20,98","0,00","0,00","7,14","0,00","7,14","3,12","1,78","0,44","0,89","0,00","0,00","13,39","0,00","10,71","21,87","0,44","0,00","2,67","0,00","1,78","0,44","0,00","6,69","0,44"
544485,Hluboká nad Vltavou,4 174,2 819,2 812,"19,52","0,07","0,03","6,22","0,07","4,58","8,71","1,56","0,49","1,56","0,07","0,17","10,91","0,03","6,40","25,21","0,00","0,17","3,94","0,07","1,35","0,35","0,21","8,00","0,21"
544493,Homole,1 191,840,837,"17,20","0,00","0,23","4,30","0,11","6,09","4,42","1,67","0,47","2,15","0,00","0,23","11,46","0,00","7,16","27,24","0,11","0,11","5,73","0,47","2,03","0,11","0,35","7,88","0,35"
536105,Horní Kněžeklady,96,60,60,"15,00","0,00","0,00","6,66","0,00","8,33","6,66","0,00","0,00","1,66","0,00","0,00","5,00","0,00","5,00","23,33","0,00","0,00","18,33","0,00","1,66","0,00","0,00","8,33","0,00"
544515,Horní Stropnice,1 221,695,694,"5,04","0,28","0,00","9,51","0,14","1,72","28,53","0,72","1,15","0,57","0,14","0,00","6,19","0,00","2,73","25,64","0,00","0,00","6,34","0,00","1,00","0,14","0,14","9,65","0,28"
544523,Hosín,673,492,490,"17,55","0,00","0,00","4,28","0,20","8,57","4,48","0,61","0,40","1,02","0,00","0,00","6,32","0,00","4,08","31,22","0,20","0,00","5,91","0,00","2,65","0,20","1,02","10,81","0,40"
535524,Hosty,131,72,72,"11,11","0,00","0,00","6,94","0,00","5,55","15,27","0,00","0,00","2,77","0,00","0,00","13,88","0,00","1,38","18,05","0,00","0,00","9,72","0,00","0,00","0,00","0,00","15,27","0,00"
535460,Hradce,72,55,55,"7,27","0,00","0,00","10,90","0,00","5,45","1,81","0,00","0,00","0,00","0,00","0,00","16,36","0,00","7,27","32,72","0,00","0,00","14,54","0,00","1,81","1,81","0,00","0,00","0,00"
544540,Hranice,176,84,82,"0,00","0,00","0,00","4,87","0,00","3,65","14,63","1,21","1,21","1,21","0,00","0,00","12,19","0,00","6,09","23,17","0,00","0,00","10,97","0,00","0,00","0,00","0,00","15,85","4,87"
544558,Hrdějovice,1 274,922,922,"14,85","0,10","0,00","2,92","0,32","5,74","5,63","2,06","0,32","2,92","0,00","0,00","11,71","0,00","5,74","29,93","0,21","0,10","6,61","0,10","1,30","0,43","0,00","8,78","0,10"
535753,Hůry,438,297,296,"14,52","0,00","0,00","3,37","0,00","8,44","6,08","3,71","0,00","1,68","0,00","0,67","9,45","0,00","4,05","28,37","0,00","0,00","5,06","0,00","4,05","0,33","0,67","9,12","0,33"
535613,Hvozdec,100,85,85,"12,94","0,00","0,00","2,35","0,00","12,94","7,05","1,17","4,70","0,00","0,00","0,00","3,52","0,00","3,52","41,17","0,00","2,35","1,17","0,00","0,00","0,00","0,00","7,05","0,00"
535907,Chotýčany,186,131,131,"4,58","0,00","0,00","6,10","0,00","8,39","3,81","3,05","2,29","2,29","0,00","0,00","12,21","0,00","5,34","23,66","0,00","0,00","14,50","0,00","0,76","0,76","0,00","9,92","2,29"
544591,Chrášťany,595,351,350,"7,71","0,28","0,00","10,00","0,28","2,85","17,14","1,71","0,28","1,14","0,00","0,28","9,42","0,00","3,42","25,71","0,00","0,00","10,57","0,00","0,28","0,57","0,00","7,71","0,57"
544612,Jankov,317,203,201,"15,92","0,00","0,00","5,97","0,49","4,47","9,95","3,48","1,99","0,49","0,49","0,00","12,43","0,00","3,98","19,40","0,00","0,49","6,96","0,00","2,48","0,00","0,49","10,44","0,00"
544639,Jílovice,781,505,498,"6,42","0,00","0,00","5,22","0,20","4,21","20,48","0,80","0,60","0,20","0,00","0,00","7,42","0,00","3,41","27,71","0,00","1,40","8,23","0,00","1,20","0,20","0,40","11,64","0,20"
535761,Jivno,267,180,180,"15,00","0,00","0,00","2,22","0,00","9,44","6,11","0,00","0,55","2,22","0,00","0,00","11,66","0,55","6,66","27,22","0,00","0,00","2,22","0,00","0,55","0,00","0,00","15,55","0,00"
535982,Kamenná,246,150,150,"2,66","0,00","0,66","6,00","1,33","1,33","22,00","1,33","0,00","0,00","0,66","0,00","8,00","0,00","0,66","39,33","2,66","0,00","0,00","0,66","1,33","1,33","1,33","8,00","0,66"
